,0
0,5ebee1a9371207bf39e2d9fb
1,5ebee1aa371207bf39e2da2d
2,5ebee1beaaded713e5745ff9
3,5ebee1beaaded713e5746003
4,5ebee31aaaded713e57466f7
5,5ebee33ae66d7d2ba08521e1
6,5ebee33be66d7d2ba08521ff
7,5ebee33be66d7d2ba085221d
8,5ebee33ce66d7d2ba0852227
9,5ebee33de66d7d2ba0852259
10,5ebee356aaded713e574680f
11,5ebee35baaded713e574687d
12,5ebee35baaded713e5746887
13,5ebee360aaded713e57468d7
14,5ebee361aaded713e5746909
15,5ebee46a068e17d58ed7fec5
16,5ebee46c068e17d58ed7fecf
17,5ebee470068e17d58ed7feed
18,5ebee4715afc0f2f75e35d72
19,5ebee472068e17d58ed7ff01
20,5ebee4725afc0f2f75e35da4
21,5ebee47e068e17d58ed7ffa1
22,5ebee4e52dd74ce8ae842950
23,5ebee4e72dd74ce8ae84298c
24,5ebee5005afc0f2f75e36200
25,5ebee5005afc0f2f75e3620a
26,5ebee5015afc0f2f75e36246
27,5ebee5015afc0f2f75e36264
28,5ebee51a068e17d58ed8022b
29,5ebee51b068e17d58ed8023f
30,5ebee51d068e17d58ed8025d
31,5ebee51e068e17d58ed8027b
32,5ebee521068e17d58ed802b7
33,5ebeeab18171fddb796f67cf
34,5ebeeab18171fddb796f67ed
35,5ebeeac920452ce620e22e38
36,5ebeeace20452ce620e22ec4
37,5ebeeb131c26843661d766bb
38,5ebeeb141c26843661d76701
39,5ebeeb161c26843661d76779
40,5ebeeb161c26843661d76783
41,5ebeeb161c26843661d7678d
42,5ebee5025afc0f2f75e36278
43,5ebee319aaded713e57466e3
44,5ebeeb171c26843661d767ab
45,5ebee2355afc0f2f75e34d08
46,5ebee475068e17d58ed7ff33
47,5ebee47f068e17d58ed7ffab
48,5ebeeb171c26843661d767c9
49,5ebee1c1aaded713e5746085
50,5ebee35faaded713e57468cd
51,5ebeeab28171fddb796f681f
52,5ebeeab28171fddb796f6833
53,5ebee362aaded713e5746913
54,5ebee520068e17d58ed802a3
55,5ebee521068e17d58ed802c1
56,5ebee482068e17d58ed7ffc9
57,5ebee5005afc0f2f75e36228
58,5ebeeb171c26843661d767bf
59,5ebee5015afc0f2f75e36250
60,5ebeeacd20452ce620e22e88
61,5ebee1aa371207bf39e2da23
62,5ebee320aaded713e5746783
63,5ebee4d92dd74ce8ae8428b0
64,5ebee471068e17d58ed7fef7
65,5ebee12de66d7d2ba0851719
66,5ebeeaaf8171fddb796f6775
67,5ebee33ce66d7d2ba085223b
68,5ebeead020452ce620e22f1e
69,5ebee33ce66d7d2ba0852231
70,5ebee522068e17d58ed802df
71,5ebee1beaaded713e5746017
72,5ebeeacf20452ce620e22ece
73,5ebee2325afc0f2f75e34c86
74,5ebee5005afc0f2f75e3621e
75,5ebee474068e17d58ed7ff29
76,5ebee35daaded713e57468a5
77,5ebeeacd20452ce620e22e92
78,5ebeeab28171fddb796f680b
79,5ebeead020452ce620e22ef6
80,5ebeeacb20452ce620e22e56
81,5ebee1c0aaded713e574605d
82,5ebee5015afc0f2f75e36232
83,5ebeeaca20452ce620e22e4c
84,5ebee33be66d7d2ba0852213
85,5ebeeac820452ce620e22e2e
86,5ebee4e52dd74ce8ae842946
87,5ebeeb131c26843661d766d9
88,5ebee481068e17d58ed7ffbf
89,5ebee1ab371207bf39e2da69
90,5ebee35daaded713e57468af
91,5ebeeab28171fddb796f6829
92,5ebee33ae66d7d2ba08521d7
93,5ebee2335afc0f2f75e34cae
94,5ebeeac620452ce620e22e10
95,5ebee35eaaded713e57468c3
96,5ebee4725afc0f2f75e35d9a
97,5ebee2345afc0f2f75e34cc2
